nome,tot,male,female
ALBERTO STEFANO,45,45,0
ALBERTO TEODORO,5,5,0
ALBERTO TULLIO,32,32,0
ALBERTO V.A.,4,4,0
ALBERTO VILIAM,5,5,0
ALBERTO VINCENZO,11,11,0
ALBERTO VITT,5,5,0
ALBERTO VITTORIO,1,1,0
ALBERTOLOMEO,9,9,0
ALBERTUCCIO,29,29,0
ALBIN,143,143,0
ALBIN ERNST,28,28,0
ALBIN FLORIAN,30,30,0
ALBIN INGENUIN,10,10,0
ALBIN JOSEF,10,10,0
ALBIN MICHAEL,10,10,0
ALBINA,218,3,215
ALBINA ANNA,4,0,4
ALBINA CATERINA,8,0,8
ALBINA DETTA MANU,5,0,5
ALBINA MARIA,1,0,1
ALBINA PIERA,5,0,5
ALBINA PIERINA,5,0,5
ALBINA SILVANA,5,0,5
ALBINETTO,5,5,0
ALBINO,3112,3112,0
ALBINO ABB,5,5,0
ALBINO ANGELO,5,5,0
ALBINO ANTONIO,3,3,0
ALBINO ATTILIO,5,5,0
ALBINO BRUNO,5,5,0
ALBINO CLAUDIO,5,5,0
ALBINO EMIDIO,5,5,0
ALBINO FABRIZIO,6,6,0
ALBINO GIOVANNI,9,9,0
ALBINO GIULIO,15,15,0
ALBINO GIUSEPPE,5,5,0
ALBINO LEOPOLDO,21,21,0
ALBINO MAYOM,6,6,0
ALBINO PAOLINO,4,4,0
ALBINO PAOLO,32,32,0
ALBINO PIETRO,20,20,0
ALBINO PIETRO PAOLO,5,5,0
ALBINO RENZO,16,16,0
ALBINO RINALDO,6,6,0
ALBINO ROCCO,8,8,0
ALBINO SANTE,10,10,0
ALBIO FAUSTO,5,5,0
ALBIZ,19,19,0
ALBO,51,51,0
ALBRECHT,51,51,0
ALBUIN,5,5,0
ALBUINO,15,15,0
ALCEO,168,168,0
ALCEO FRANCESCO,5,5,0
ALCESTE,109,109,0
ALCESTE AMEDEO,5,5,0
ALCESTER,6,6,0
ALCHERIO,3,3,0
ALCHISIO,10,10,0
ALCIBIADE,20,20,0
ALCIDE,525,525,0
ALCIDE BENITO,11,11,0
ALCIDE ENRICO,2,2,0
ALCIDE FELICE,13,13,0
ALCIDE GIUSEPPE,4,4,0
ALCIDE NICOLA,19,19,0
ALCIDE ROMANO,14,14,0
ALCIDIO,5,5,0
ALCINE,5,5,0
ALDA,416,2,414
ALDA AGNESE,1,0,1
ALDA FRANCESCA,30,0,30
ALDA GRAZIELLA,9,0,9
ALDA MARCELLA,1,0,1
ALDA MARIA,34,0,34
ALDA MARIA GLORIA,5,0,5
ALDA RITA,3,0,3
ALDA ROSA,4,0,4
ALDA VITTORINA,10,0,10
ALDEMARO,5,5,0
ALDEMIRO,5,5,0
ALDEMO,5,5,0
ALDER,13,13,0
ALDERANO,5,5,0
ALDERICO,50,50,0
ALDERICO GIOVANNI,1,1,0
ALDERICO PAOLO,5,5,0
ALDERINO,5,5,0
ALDERO,10,10,0
ALDESINO,4,4,0
ALDIMIRO,15,15,0
ALDINA,109,3,106
ALDINA CHIARA,6,0,6
ALDINO,421,421,0
ALDINO BATTISTA,8,8,0
ALDINO GIUSEPPE,10,10,0
ALDINO S,6,6,0
ALDINO SILVANO,9,9,0
ALDINO VINCENZO,14,14,0
ALDISIO,7,7,0
ALDO,23378,23378,0
ALDO 1925,20,20,0
ALDO AGOSTINO,25,25,0
ALDO ALBERTO,15,15,0
ALDO ALBINO,10,10,0
ALDO ALTIERO,10,10,0
ALDO ANDREA,19,19,0
ALDO ANGELO,15,15,0
ALDO ANTONINO,2,2,0
ALDO ANTONIO,105,105,0
ALDO ANTONIO CARLO,18,18,0
ALDO ARNALDO,10,10,0
ALDO AUGUSTO,4,4,0
ALDO AURELIO,5,5,0
ALDO BATTISTA,4,4,0
ALDO BENEDETTO,5,5,0
ALDO BERNARDINO,5,5,0
ALDO BRUNO,40,40,0
ALDO CARLO,25,25,0
ALDO CARMINE,14,14,0
ALDO CELESTE,5,5,0
ALDO CLAUDIO,10,10,0
ALDO COSTANZO,10,10,0
ALDO DAVIDE,5,5,0
ALDO DINO,5,5,0
ALDO DOMENICO,13,13,0
ALDO EGIDIO,10,10,0
ALDO ELIO,5,5,0
ALDO EMANUELE,4,4,0
ALDO EMILIO,10,10,0
ALDO ENRICO,47,47,0
ALDO ENZO,19,19,0
ALDO ERMANDO,15,15,0
ALDO ERMANNO,10,10,0
ALDO ERMENEGILDO,4,4,0
ALDO ERMINIO,10,10,0
ALDO ERNESTO,4,4,0
ALDO ETTORE,1,1,0
ALDO EUGENIO,20,20,0
ALDO EZIO,28,28,0
ALDO FERDINANDO,14,14,0
